model,subject,fold,task,weight
model,paula,0,color,1
baseline,paula,0,color,1
model,paula,1,color,0
baseline,paula,1,color,0
model,paula,2,color,0.04
baseline,paula,2,color,1
model,paula,3,color,0.04
baseline,paula,3,color,0
model,paula,4,color,0.24
baseline,paula,4,color,0.24
model,paula,0,motion,1
baseline,paula,0,motion,1
model,paula,1,motion,0
baseline,paula,1,motion,0
model,paula,2,motion,1
baseline,paula,2,motion,1
model,paula,3,motion,0
baseline,paula,3,motion,1
model,paula,4,motion,0.92
baseline,paula,4,motion,1
model,rex,0,color,0.64
baseline,rex,0,color,0.68
model,rex,1,color,0
baseline,rex,1,color,0
model,rex,2,color,0
baseline,rex,2,color,0
model,rex,3,color,1
baseline,rex,3,color,1
model,rex,4,color,0.6
baseline,rex,4,color,0
model,rex,0,motion,0.68
baseline,rex,0,motion,0.6
model,rex,1,motion,1
baseline,rex,1,motion,0
model,rex,2,motion,0
baseline,rex,2,motion,0
model,rex,3,motion,1
baseline,rex,3,motion,1
model,rex,4,motion,0.28
baseline,rex,4,motion,0.34
